filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
CQS CAYMAN LP,UDR Inc.,UDR,3/31/09,PRN,12500000,10782000,22000,16648000,1.4367,2.3058,19,10,56718.1818,addition,FINANCE
CQS CAYMAN LP,Washington Real Estate Investment Trust,WRE,3/31/09,PRN,12000000,10080000,12000,9544000,1.3432,1.3219,20,20,99900,addition,FINANCE
CQS CAYMAN LP,Kendle International Inc.,KNDL,3/31/09,PRN,11500000,8892000,11500,8654000,1.1849,1.1986,21,21,99900,addition,HEALTH CARE
CQS CAYMAN LP,"Liberty Media Group, Inc. Class B",LMC.B,3/31/09,PRN,10000000,7798000,20000,14496000,1.0391,2.0077,22,14,49900,addition,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Wyeth, Inc.",WYE,3/31/09,SH,169789,7308000,0,0,0.9738,,23,999999,,new,HEALTH CARE
CQS CAYMAN LP,"BRE Properties, Inc.",BRE,3/31/09,PRN,8000000,6670000,20000,14830000,0.8888,2.054,24,13,39900,addition,FINANCE
CQS CAYMAN LP,Nash-Finch Co.,NAFC,3/31/09,PRN,17755000,6104000,0,0,0.8134,,25,999999,,new,CONSUMER STAPLES
CQS CAYMAN LP,Schering-Plough Inc.,SGP,3/31/09,SH,249997,5887000,0,0,0.7844,,26,999999,,new,HEALTH CARE
CQS CAYMAN LP,Discovery Communications Inc Series C,DISCK,3/31/09,SH,799996,5860000,0,0,0.7808,,27,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Petroleo Brasileiro SA Petrobras Class A,PBR.A,3/31/09,SH,228875,5607000,0,0,0.7471,,28,999999,,new,ENERGY
CQS CAYMAN LP,CV Therapeutics Inc,CVTX,3/31/09,SH,241000,4791000,0,0,0.6384,,29,999999,,new,HEALTH CARE
CQS CAYMAN LP,CuraGen Corp.,CRGN,3/31/09,SH,4776798,4299000,4964298,2284000,0.5728,0.3163,30,31,-3.777,reduction,HEALTH CARE
CQS CAYMAN LP,"Liberty Global Inc, Class A",LBTYA,3/31/09,SH,262627,3824000,0,0,0.5095,,31,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Thermo Fisher Scientific, Inc.",TMO,3/31/09,SH,102300,3649000,0,0,0.4862,,32,999999,,new,HEALTH CARE
CQS CAYMAN LP,Kinross Gold Corp. ADR,KGC,3/31/09,SH,160000,3616000,217236,4888000,0.4818,0.677,33,24,-26.3474,reduction,MATERIALS
CQS CAYMAN LP,Medarex Inc.,MEDX,3/31/09,PRN,5000000,3600000,0,0,0.4797,,34,999999,,new,HEALTH CARE
CQS CAYMAN LP,Molson Coors Brewing Company,TAP,3/31/09,SH,100400,3442000,0,0,0.4586,,35,999999,,new,CONSUMER STAPLES
CQS CAYMAN LP,"Kinder Morgan Management, LLC",KMR,3/31/09,SH,83692,3326000,117813,4710000,0.4432,0.6523,36,26,-28.962,reduction,ENERGY
CQS CAYMAN LP,Cameron International Corp.,CAM,3/31/09,SH,113100,2480000,0,0,0.3305,,37,999999,,new,ENERGY
CQS CAYMAN LP,"China Medical Technologies, Inc. ADR",CMEDQ,3/31/09,PRN,5000000,2350000,5000,2280000,0.3131,0.3158,38,32,99900,addition,HEALTH CARE
CQS CAYMAN LP,GFI Group Inc,GFIG,3/31/09,SH,700000,2247000,700000,2478000,0.2994,0.3432,39,30,0,,FINANCE
CQS CAYMAN LP,Liberty Entertainment Group,LMDIA,3/31/09,SH,112500,2244000,0,0,0.299,,40,999999,,new,SERVICES
CQS CAYMAN LP,IAMGold Corp. ADR,IAG,3/31/09,SH,200000,2176000,200000,1520000,0.29,0.2105,41,37,0,,MATERIALS
CQS CAYMAN LP,MYLAN INC PFD A,MYL-PA,3/31/09,PRN,2500,2156000,3,1618000,0.2873,0.2241,42,36,83233.3333,addition,UNKNOWN
CQS CAYMAN LP,Vector Group Ltd.,VGR,3/31/09,PRN,2205000,1881000,2205,2245000,0.2506,0.3109,43,33,99900,addition,CONSUMER STAPLES
CQS CAYMAN LP,Embarq Corp.,EQ,3/31/09,SH,47500,1798000,37500,1349000,0.2396,0.1868,44,41,26.6667,addition,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"Brookline Bancorp, Inc.",BRKL,3/31/09,SH,188075,1787000,85600,912000,0.2381,0.1263,45,48,119.7138,addition,FINANCE
CQS CAYMAN LP,Western Goldfields Inc Idaho,WGW,3/31/09,SH,737500,1755000,737500,1446000,0.2339,0.2003,46,40,0,,MATERIALS
CQS CAYMAN LP,ELEMENTS Rogers Agriculture ETN,RJA,3/31/09,SH,235000,1657000,235000,1755000,0.2208,0.2431,47,35,0,,MATERIALS
CQS CAYMAN LP,Thinkorswim Group Inc,SWIM,3/31/09,SH,186503,1611000,0,0,0.2147,,48,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Gran Tierra Energy, Inc.",GTE,3/31/09,SH,500000,1610000,588197,1935000,0.2145,0.268,49,34,-14.9945,reduction,ENERGY
CQS CAYMAN LP,Allied Nevada Gold Corp,ANV,3/31/09,SH,200000,1458000,0,0,0.1943,,50,999999,,new,MATERIALS
CQS CAYMAN LP,Centennial Communications Corp. (New) Class A,CYCL,3/31/09,SH,166275,1373000,141275,1139000,0.183,0.1578,51,45,17.696,addition,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"Neuberger Berman Dividend Advantage Fund, Inc.",NDD,3/31/09,SH,260814,1312000,161003,1162000,0.1748,0.1609,52,44,61.9933,addition,FINANCE
CQS CAYMAN LP,AimGlobal Technologies Inc,AGT,3/31/09,SH,2925000,1185000,4000000,1080000,0.1579,0.1496,53,46,-26.875,reduction,INDUSTRIALS
CQS CAYMAN LP,Cameco Corp.,CCJ,3/31/09,SH,53000,1142000,20000,421000,0.1522,0.0583,54,58,165,addition,ENERGY
CQS CAYMAN LP,Silver Wheaton Corp.,SLW,3/31/09,SH,130000,1134000,150000,1049000,0.1511,0.1453,55,47,-13.3333,reduction,MATERIALS
CQS CAYMAN LP,"WESCO International, Inc",WCC,3/31/09,PRN,1500000,1104000,0,0,0.1471,,56,999999,,new,INDUSTRIALS
CQS CAYMAN LP,CF Industries Holdings Inc,CF,3/31/09,SH,12495,889000,0,0,0.1185,,57,999999,,new,MATERIALS
CQS CAYMAN LP,Sina Corp,SINA,3/31/09,SH,36000,837000,0,0,0.1115,,58,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Health Care REIT Inc., 7.50% Series G Cumul Convertible Preferred Stock",HCN-PG,3/31/09,PRN,43000,808000,1720,1312000,0.1077,0.1817,59,42,2400,addition,FINANCE
CQS CAYMAN LP,"EXCO Resources, Inc.",XCO,3/31/09,SH,70000,700000,50000,453000,0.0933,0.0627,60,55,40,addition,ENERGY
CQS CAYMAN LP,Pan American Silver Corp,PAAS,3/31/09,SH,40000,697000,0,0,0.0929,,61,999999,,new,MATERIALS
CQS CAYMAN LP,ICICI Bank Ltd. ADS,IBN,3/31/09,SH,50000,665000,0,0,0.0886,,62,999999,,new,FINANCE
CQS CAYMAN LP,SandRidge Energy Inc,SD,3/31/09,SH,100000,659000,0,0,0.0878,,63,999999,,new,ENERGY
CQS CAYMAN LP,Great Basin Gold Ltd.,GBGLF,3/31/09,SH,384600,623000,0,0,0.083,,64,999999,,new,MATERIALS
CQS CAYMAN LP,Exeter Resource Corp.,XRA,3/31/09,SH,127500,523000,127500,0,0.0697,0,65,73,0,,MATERIALS
CQS CAYMAN LP,Enerplus Corp,ERF,3/31/09,SH,25000,520000,25000,599000,0.0693,0.083,66,51,0,,ENERGY
CQS CAYMAN LP,Barrick Gold Corp,ABX,3/31/09,SH,12000,490000,0,0,0.0653,,67,999999,,new,MATERIALS
CQS CAYMAN LP,Pengrowth Energy Corp. Class A,PGH,3/31/09,SH,60000,426000,60000,561000,0.0568,0.0777,68,53,0,,ENERGY
CQS CAYMAN LP,Fiduciary/Claymore Dynamic Equity Fund,HCE,3/31/09,SH,100770,398000,28600,123000,0.053,0.017,69,67,252.3427,addition,FINANCE
CQS CAYMAN LP,Baytex Energy Trust,BTE,3/31/09,SH,20500,310000,0,0,0.0413,,70,999999,,new,ENERGY
CQS CAYMAN LP,Nova Chemicals Corp.,NCX,3/31/09,SH,50000,288000,0,0,0.0384,,71,999999,,new,MATERIALS
CQS CAYMAN LP,EnergySolutions Inc,ES,3/31/09,SH,30000,260000,30000,170000,0.0346,0.0235,72,66,0,,ENERGY
CQS CAYMAN LP,Yamana Gold Inc.,AUY,3/31/09,SH,20000,235000,60000,567000,0.0313,0.0785,73,52,-66.6667,reduction,MATERIALS
CQS CAYMAN LP,IPC Holdings Ltd,IPCR,3/31/09,SH,8155,221000,0,0,0.0294,,74,999999,,new,FINANCE
CQS CAYMAN LP,Yahoo! Inc.,YHOO,3/31/09,SH,14188,182000,29188,356000,0.0243,0.0493,75,60,-51.391,reduction,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Digimarc Corp,DMRC,3/31/09,SH,18440,179000,18440,185000,0.0239,0.0256,76,65,0,,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Huntsman Corp,HUN,3/31/09,SH,34400,108000,34400,118000,0.0144,0.0163,77,68,0,,MATERIALS
CQS CAYMAN LP,Sirf Technology Holdings Inc,SIRF,3/31/09,SH,16377,38000,0,0,0.0051,,78,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,OILSANDS QUEST WTS,BQI-WT,3/31/09,CALL,300000,15000,0,0,0.002,,79,999999,,new,UNKNOWN
CQS CAYMAN LP,Fresenius Kabi Pharmaceuticals ,APCVZ,3/31/09,SH,10000,4000,0,0,0.0005,,80,999999,,new,UNKNOWN
CQS CAYMAN LP,DDR Corp,DDR,3/31/09,PRN,0,0,30000,12870000,,1.7825,999999,17,-100,soldall,FINANCE
CQS CAYMAN LP,Harvest Energy Trust,HTE,3/31/09,SH,0,0,40000,420000,,0.0582,999999,59,-100,soldall,ENERGY
CQS CAYMAN LP,"Seligman Select Municipal Fund, Inc.",SEL,3/31/09,SH,0,0,46447,425000,,0.0589,999999,57,-100,soldall,FINANCE
CQS CAYMAN LP,"Enzon Pharmaceuticals, Inc",ENZN,3/31/09,PRN,0,0,7000,4783000,,0.6624,999999,25,-100,soldall,HEALTH CARE
CQS CAYMAN LP,Fresenius Kabi Pharmaceuticals ,APCVZ,3/31/09,CALL,0,0,10000,4000,,0.0006,999999,72,-100,soldall,UNKNOWN
CQS CAYMAN LP,"Vale Capital Ltd, 5.50% Guaranteed A Notes due 2010",CJA,3/31/09,PRN,0,0,76470,102279000,,14.1657,999999,2,-100,soldall,MATERIALS
CQS CAYMAN LP,Datascope Corp.,DSCP,3/31/09,SH,0,0,12633,660000,,0.0914,999999,50,-100,soldall,HEALTH CARE
CQS CAYMAN LP,CAL DIVE INTERNATIONAL INC COM,CDVI,3/31/09,PRN,0,0,10000,4100000,,0.5679,999999,27,-100,soldall,ENERGY
CQS CAYMAN LP,KEMET Corp,KEM,3/31/09,PRN,0,0,833,448000,,0.062,999999,56,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"eTelecare Global Solutions, Inc.",ETEL,3/31/09,SH,0,0,14112,101000,,0.014,999999,70,-100,soldall,INDUSTRIALS
CQS CAYMAN LP,"China Medical Technologies, Inc. ADR",CMEDQ,3/31/09,SH,0,0,25510,517000,,0.0716,999999,54,-100,soldall,HEALTH CARE
CQS CAYMAN LP,Qimonda AG ADS,QMNDQ,3/31/09,SH,0,0,284300,108000,,0.015,999999,69,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Health Care REIT, Inc.",HCN,3/31/09,PRN,0,0,7046,6727000,,0.9317,999999,23,-100,soldall,FINANCE
CQS CAYMAN LP,Rohm & Haas Co.,ROH,3/31/09,SH,0,0,5300,327000,,0.0453,999999,61,-100,soldall,MATERIALS
CQS CAYMAN LP,"Vale Capital Ltd, 5.50% Guaranteed B Notes due 2010",CJB,3/31/09,PRN,0,0,22680,30584000,,4.2359,999999,7,-100,soldall,FINANCE
CQS CAYMAN LP,Epicor Software Corp.,EPIC,3/31/09,PRN,0,0,3000,1518000,,0.2102,999999,39,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,UST Inc.,UST,3/31/09,SH,0,0,40200,2789000,,0.3863,999999,29,-100,soldall,CONSUMER STAPLES
CQS CAYMAN LP,SPDR Series Trust- SPDR S&P Regional Banking ETF,KRE,3/31/09,SH,0,0,9706,283000,,0.0392,999999,62,-100,soldall,FINANCE
CQS CAYMAN LP,Omnicom Group Inc.,OMC,3/31/09,PRN,0,0,10000,9944000,,1.3773,999999,19,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,OILSANDS QUEST WTS,BQI-WT,3/31/09,PRN,0,0,300000,15000,,0.0021,999999,71,-100,soldall,UNKNOWN
CQS CAYMAN LP,"Mueller Water Products, Inc. Class B",MWA.B,3/31/09,SH,0,0,180102,1520000,,0.2105,999999,38,-100,soldall,INDUSTRIALS
CQS CAYMAN LP,Focus Media Holdings Inc,FMCN,3/31/09,SH,0,0,24990,227000,,0.0314,999999,63,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Genentech, Inc.",DNA,3/31/09,SH,0,0,8000,663000,,0.0918,999999,49,-100,soldall,HEALTH CARE
CQS CAYMAN LP,i2 Technologies Inc.,ITWO,3/31/09,SH,0,0,33890,217000,,0.0301,999999,64,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Biomarin Pharmaceutical Inc.,BMRN,3/31/09,PRN,0,0,4084,3885000,,0.5381,999999,28,-100,soldall,HEALTH CARE
CQS CAYMAN LP,Mentor Corp. (MN),MNT,3/31/09,SH,0,0,40000,1237000,,0.1713,999999,43,-100,soldall,HEALTH CARE
CQS CAYMAN LP,"D.R. Horton, Inc.",DHI,6/30/09,PRN,55000000,52919000,0,0,8.7822,,1,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,UDR Inc.,UDR,6/30/09,PRN,56000000,51396000,12500000,10782000,8.5294,1.4367,2,19,348,addition,FINANCE
CQS CAYMAN LP,ProLogis Corp.,PLD,6/30/09,PRN,56025440,45433000,80500000,43208000,7.5398,5.7574,3,4,-30.4032,reduction,FINANCE
CQS CAYMAN LP,Weingarten Realty Investors,WRI,6/30/09,PRN,45500000,41497000,28500000,22170000,6.8866,2.9541,4,8,59.6491,addition,FINANCE
CQS CAYMAN LP,"Boston Properties, Inc.",BXP,6/30/09,PRN,42095000,37510000,32095000,25235000,6.225,3.3625,5,7,31.1575,addition,FINANCE
CQS CAYMAN LP,"Vornado Realty L.P., 7.875% Public Income NotES (PINES) Due 10/1/2039",VNOD,6/30/09,PRN,39850000,34935000,14000000,11095000,5.7976,1.4784,6,18,184.6429,addition,FINANCE
CQS CAYMAN LP,"Wyeth, Inc.",WYE,6/30/09,SH,562508,25532000,169789,7308000,4.2372,0.9738,7,23,231.2983,addition,HEALTH CARE
CQS CAYMAN LP,"WESCO International, Inc",WCC,6/30/09,PRN,26000000,24977000,1500000,1104000,4.1451,0.1471,8,56,1633.3333,addition,INDUSTRIALS
CQS CAYMAN LP,Medarex Inc.,MEDX,6/30/09,PRN,867521,23770000,5000000,3600000,3.9448,0.4797,9,34,-82.6496,reduction,HEALTH CARE
CQS CAYMAN LP,Loews Corp,L,6/30/09,SH,867521,23770000,575372,12716000,3.9448,1.6944,10,15,50.7757,addition,FINANCE
CQS CAYMAN LP,BHP Billiton plc ADS,BBL,6/30/09,SH,441218,20058000,0,0,3.3287,,11,999999,,new,MATERIALS
CQS CAYMAN LP,ArcelorMittal S.A. (New) Sponsored ADR,MT,6/30/09,PRN,12000000,15166000,0,0,2.5169,,12,999999,,new,MATERIALS
CQS CAYMAN LP,"National Retail Properties, Inc.",NNN,6/30/09,PRN,27000000,14736000,19000000,15390000,2.4455,2.0507,13,11,42.1053,addition,FINANCE
CQS CAYMAN LP,Carnival Corp.,CCL,6/30/09,SH,556203,14333000,782283,16897000,2.3786,2.2515,14,10,-28.9,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Global Industries Ltd,GLBL,6/30/09,PRN,27000000,12356000,38850000,12626000,2.0505,1.6824,15,16,-30.5019,reduction,ENERGY
CQS CAYMAN LP,GoldCorp Inc. (New),GG,6/30/09,SH,305000,12331000,285000,12095000,2.0464,1.6117,16,17,7.0175,addition,MATERIALS
CQS CAYMAN LP,"Liberty Global Inc, Class A",LBTYA,6/30/09,SH,693202,11015000,262627,3824000,1.828,0.5095,17,31,163.9493,addition,CONSUMER DISCRETIONARY
CQS CAYMAN LP,CMS Energy Corp.,CMS,6/30/09,PRN,10500000,10813000,0,0,1.7945,,18,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"Liberty Media Group, Inc. Class B",LMC.B,6/30/09,PRN,11816000,8984000,10000000,7798000,1.4909,1.0391,19,22,18.16,addition,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Transocean Ltd,RIG,6/30/09,PRN,10000000,8473000,58000000,50272000,1.4061,6.6987,20,3,-82.7586,reduction,ENERGY
CQS CAYMAN LP,"BRE Properties, Inc.",BRE,6/30/09,PRN,8000000,7375000,8000000,6670000,1.2239,0.8888,21,24,0,,FINANCE
CQS CAYMAN LP,Discovery Communications Inc Series C,DISCK,6/30/09,SH,621236,6377000,799996,5860000,1.0583,0.7808,22,27,-22.3451,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Amgen, Inc.",AMGN,6/30/09,PRN,5600000,5333000,0,0,0.885,,23,999999,,new,HEALTH CARE
CQS CAYMAN LP,SESI LLC,SESI-NF,6/30/09,PRN,550000,5071000,0,0,0.8416,,24,999999,,new, 
CQS CAYMAN LP,Sun Microsystems Inc.,JAVA,6/30/09,SH,550000,5071000,0,0,0.8416,,25,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,OSI Pharmaceuticals Inc.,OSIP,6/30/09,PRN,5500000,4525000,0,0,0.7509,,26,999999,,new,HEALTH CARE
CQS CAYMAN LP,CuraGen Corp.,CRGN,6/30/09,SH,2921698,4207000,4776798,4299000,0.6982,0.5728,27,30,-38.8356,reduction,HEALTH CARE
CQS CAYMAN LP,Schering-Plough Inc.,SGP,6/30/09,SH,161256,4058000,249997,5887000,0.6734,0.7844,28,26,-35.4968,reduction,HEALTH CARE
CQS CAYMAN LP,IAMGold Corp. ADR,IAG,6/30/09,SH,340000,4005000,200000,2176000,0.6647,0.29,29,41,70,addition,MATERIALS
CQS CAYMAN LP,Petroleo Brasileiro SA Petrobras Class A,PBR.A,6/30/09,SH,113224,3777000,228875,5607000,0.6268,0.7471,30,28,-50.5302,reduction,ENERGY
CQS CAYMAN LP,Cameron International Corp.,CAM,6/30/09,SH,125600,3554000,113100,2480000,0.5898,0.3305,31,37,11.0522,addition,ENERGY
CQS CAYMAN LP,"China Medical Technologies, Inc. ADR",CMEDQ,6/30/09,PRN,5250000,3419000,5000000,2350000,0.5674,0.3131,32,38,5,addition,HEALTH CARE
CQS CAYMAN LP,Comcast Corp. (New) Special Class A,CMCSK,6/30/09,SH,204043,2877000,1673810,21542000,0.4775,2.8705,33,9,-87.8097,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Vector Group Ltd.,VGR,6/30/09,PRN,1056032,2778000,2205000,1881000,0.461,0.2506,34,43,-52.1074,reduction,CONSUMER STAPLES
CQS CAYMAN LP,Uranium Energy Corp,UEC,6/30/09,SH,957852,2778000,0,0,0.461,,35,999999,,new,MATERIALS
CQS CAYMAN LP,Kinross Gold Corp. ADR,KGC,6/30/09,SH,122500,2597000,160000,3616000,0.431,0.4818,36,33,-23.4375,reduction,MATERIALS
CQS CAYMAN LP,Medtronic Inc.,MDT,6/30/09,PRN,2750000,2562000,0,0,0.4252,,37,999999,,new,HEALTH CARE
CQS CAYMAN LP,Theravance Inc,THRX,6/30/09,PRN,280000,2335000,0,0,0.3875,,38,999999,,new,HEALTH CARE
CQS CAYMAN LP,DDR Corp,DDR,6/30/09,SH,420000,2050000,0,0,0.3402,,39,999999,,new,FINANCE
CQS CAYMAN LP,"Gran Tierra Energy, Inc.",GTE,6/30/09,SH,500000,2025000,500000,1610000,0.3361,0.2145,40,49,0,,ENERGY
CQS CAYMAN LP,Silver Wheaton Corp.,SLW,6/30/09,SH,220000,1983000,130000,1134000,0.3291,0.1511,41,55,69.2308,addition,MATERIALS
CQS CAYMAN LP,China Petroleum & Chemical Corp. Sponsored ADR,SNP,6/30/09,SH,33675,1965000,0,0,0.3261,,42,999999,,new,ENERGY
CQS CAYMAN LP,Allied Nevada Gold Corp,ANV,6/30/09,SH,200000,1880000,200000,1458000,0.312,0.1943,43,50,0,,MATERIALS
CQS CAYMAN LP,New Gold Inc. ADR,NGD,6/30/09,SH,600000,1848000,0,0,0.3067,,44,999999,,new,MATERIALS
CQS CAYMAN LP,Barrick Gold Corp,ABX,6/30/09,SH,45000,1762000,12000,490000,0.2924,0.0653,45,67,275,addition,MATERIALS
CQS CAYMAN LP,ELEMENTS Rogers Agriculture ETN,RJA,6/30/09,SH,235000,1688000,235000,1657000,0.2801,0.2208,46,47,0,,MATERIALS
CQS CAYMAN LP,Ryanair Holdings ADR,RYAAY,6/30/09,SH,50841,1443000,0,0,0.2395,,47,999999,,new,TRANSPORTS
CQS CAYMAN LP,Anglogold Ashanti Ltd ADS,AU,6/30/09,SH,35000,1282000,0,0,0.2128,,48,999999,,new,MATERIALS
CQS CAYMAN LP,AimGlobal Technologies Inc,AGT,6/30/09,SH,2400000,1200000,2925000,1185000,0.1991,0.1579,49,53,-17.9487,reduction,INDUSTRIALS
CQS CAYMAN LP,"Health Care REIT, Inc.",HCN,6/30/09,PRN,43000,1159000,0,0,0.1923,,50,999999,,new,FINANCE
CQS CAYMAN LP,ProShares UltraShort S& P500 ETF,SDS,6/30/09,SH,5000,1107000,0,0,0.1837,,51,999999,,new,FINANCE
CQS CAYMAN LP,United States Steel Corp. (New),X,6/30/09,PRN,20000,1107000,0,0,0.1837,,52,999999,,new,MATERIALS
CQS CAYMAN LP,Pan American Silver Corp,PAAS,6/30/09,SH,60000,1100000,40000,697000,0.1826,0.0929,53,61,50,addition,MATERIALS
CQS CAYMAN LP,Cameco Corp.,CCJ,6/30/09,SH,35000,1044000,53000,1142000,0.1733,0.1522,54,54,-33.9623,reduction,ENERGY
CQS CAYMAN LP,PowerShares QQQ Trust - Unit Series 1,QQQ,6/30/09,SH,25440,926000,0,0,0.1537,,55,999999,,new,FINANCE
CQS CAYMAN LP,"EXCO Resources, Inc.",XCO,6/30/09,SH,70000,904000,70000,700000,0.15,0.0933,56,60,0,,ENERGY
CQS CAYMAN LP,SandRidge Energy Inc,SD,6/30/09,SH,100000,852000,100000,659000,0.1414,0.0878,57,63,0,,ENERGY
CQS CAYMAN LP,China Telecom Corp. Ltd ADS,CHA,6/30/09,SH,15000,746000,0,0,0.1238,,58,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,Eldorado Gold Corp. ADR,EGO,6/30/09,SH,70000,734000,0,0,0.1218,,59,999999,,new,MATERIALS
CQS CAYMAN LP,Entrust Inc.,ENTU,6/30/09,SH,395902,717000,0,0,0.119,,60,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Jaguar Mining, Inc.",JAGGF,6/30/09,SH,75000,662000,0,0,0.1099,,61,999999,,new,MATERIALS
CQS CAYMAN LP,Great Basin Gold Ltd.,GBGLF,6/30/09,SH,400000,636000,384600,623000,0.1055,0.083,62,64,4.0042,addition,MATERIALS
CQS CAYMAN LP,Aurizon Mines Ltd,AZK,6/30/09,SH,150000,629000,0,0,0.1044,,63,999999,,new,MATERIALS
CQS CAYMAN LP,Enerplus Corp,ERF,6/30/09,SH,25000,628000,25000,520000,0.1042,0.0693,64,66,0,,ENERGY
CQS CAYMAN LP,Pengrowth Energy Corp. Class A,PGH,6/30/09,SH,60000,551000,60000,426000,0.0914,0.0568,65,68,0,,ENERGY
CQS CAYMAN LP,Yamana Gold Inc.,AUY,6/30/09,SH,50000,517000,20000,235000,0.0858,0.0313,66,73,150,addition,MATERIALS
CQS CAYMAN LP,3M Company,MMM,6/30/09,PRN,600000,498000,0,0,0.0826,,67,999999,,new,INDUSTRIALS
CQS CAYMAN LP,Silver Standard Resources Inc.,SSRI,6/30/09,SH,25000,469000,0,0,0.0778,,68,999999,,new,MATERIALS
CQS CAYMAN LP,Millipore Corp.,MIL,6/30/09,PRN,500000,463000,0,0,0.0768,,69,999999,,new,HEALTH CARE
CQS CAYMAN LP,Vornado Realty Trust,VNO,6/30/09,PRN,16800,458000,35850000,27201000,0.076,3.6245,70,6,-99.9531,reduction,FINANCE
CQS CAYMAN LP,"VMWare, Inc.",VMW,6/30/09,SH,16800,458000,0,0,0.076,,71,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Exeter Resource Corp.,XRA,6/30/09,SH,127500,431000,127500,523000,0.0715,0.0697,72,65,0,,MATERIALS
CQS CAYMAN LP,NII HOLDINGS INC CL B,NIHDQ,6/30/09,PRN,10000,409000,0,0,0.0679,,73,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,Newmont Mining Corp. (Holding Co.),NEM,6/30/09,SH,10000,409000,0,0,0.0679,,74,999999,,new,MATERIALS
CQS CAYMAN LP,"Key Energy Services, Inc.",KEG,6/30/09,SH,70000,403000,0,0,0.0669,,75,999999,,new,ENERGY
CQS CAYMAN LP,Baytex Energy Trust,BTE,6/30/09,SH,20500,402000,20500,310000,0.0667,0.0413,76,70,0,,ENERGY
CQS CAYMAN LP,Silvercorp Metals Inc. ADR,SVM,6/30/09,SH,90000,365000,0,0,0.0606,,77,999999,,new,MATERIALS
CQS CAYMAN LP,EMC Corp.,EMC,6/30/09,PRN,300000,306000,0,0,0.0508,,78,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,EnergySolutions Inc,ES,6/30/09,SH,30000,276000,30000,260000,0.0458,0.0346,79,72,0,,ENERGY
CQS CAYMAN LP,Mylan Inc,MYL,6/30/09,PRN,250000,250000,0,0,0.0415,,80,999999,,new,HEALTH CARE
CQS CAYMAN LP,Omnicom Group Inc.,OMC,6/30/09,PRN,300000,233000,0,0,0.0387,,81,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,DRDGold Ltd ADR,DRD,6/30/09,SH,30000,228000,0,0,0.0378,,82,999999,,new,MATERIALS
CQS CAYMAN LP,Nash-Finch Co.,NAFC,6/30/09,PRN,250000,224000,17755000,6104000,0.0372,0.8134,83,25,-98.5919,reduction,CONSUMER STAPLES
CQS CAYMAN LP,DST Systems Inc. (DE),DST,6/30/09,PRN,250000,222000,0,0,0.0368,,84,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Covanta Holding Corp.,CVA,6/30/09,PRN,250000,217000,0,0,0.036,,85,999999,,new,INDUSTRIALS
CQS CAYMAN LP,Fresenius Kabi Pharmaceuticals ,APCVZ,6/30/09,CALL,10000,3000,0,0,0.0005,,86,999999,,new,UNKNOWN
CQS CAYMAN LP,Nova Chemicals Corp.,NCX,6/30/09,SH,0,0,50000,288000,,0.0384,999999,71,-100,soldall,MATERIALS
CQS CAYMAN LP,Kendle International Inc.,KNDL,6/30/09,PRN,0,0,11500000,8892000,,1.1849,999999,21,-100,soldall,HEALTH CARE
CQS CAYMAN LP,"Health Care REIT Inc., 7.50% Series G Cumul Convertible Preferred Stock",HCN-PG,6/30/09,PRN,0,0,43000,808000,,0.1077,999999,59,-100,soldall,FINANCE
